FID,Nombre,ID
5,Rio Petorca Alto (hasta despues Junta Rio Sobrante),UP
6,Rio Petorca Medio,MP
7,Rio Petorca Bajo (entre Las Palmas y Desembocadura),LP
4,Costeras Quilimari-Petorca,CQP
8,Rio Ligua Alto (Estero Alicahue),UL
9,Rio Ligua Medio (entre Quebrada La Cerrada y Los Angeles),ML
10,Rio Ligua Bajo (entre Estero Los Angeles y Desembocadura),LL
2,Rio Quilimari entre muro Embalse Culimo y Bajo Cajon Ingienillo,MQ
3,Rio Quilimari entre Cajo Ingienillo y Desembocadura,LQ
1,Rio Quilimari hasta muro Embalse Culimo,UQ
