"Codigo_nacional";"Estacion";"Latitud";"Longitud";"Nombre_subcuenca";"calidad";"ID";"ID_subcuenca";"Name_subcuenca"
"04900002-2";"Culimo_embalse_DGA";-32,0675;-71,2225;"Rio Quilimari hasta muro Embalse Culimo";0,903225806451613;"RQE";"UQ";"Upper Quilimari"
"04900003-0";"Quelon_DGA";-32,1444;-71,1628;"Rio Quilimari hasta muro Embalse Culimo";0,875930521091811;"RQE";"UQ";"Upper Quilimari"
"04902003-1";"Quilimari_DGA";-32,1175;-71,5;"Rio Quilimari Entre Cajon Ingienillo y Desembocadura";0,900744416873449;"RQD";"LQ";"Lower Quilimari"
"05100006-4";"El_sobrante_hacienda_DGA";-32,2261;-70,7839;"Rio Petorca Alto (hasta despues Junta Rio Sobrante)";0,910669975186104;"RPA";"UP";"Upper Petorca"
"05110003-4";"Hierro_viejo_DGA";-32,2756;-70,9997;"Petorca Medio";0,933002481389578;"RPM";"MP";"Middle Petorca"
"05111001-3";"Palquico_DGA";-32,2528;-71,1386;"Petorca Medio";0,913151364764268;"RPM";"MP";"Middle Petorca"
"05111002-1";"Frutillar_alto_DGA";-32,1567;-71,03;"Petorca Medio";0,933002481389578;"RPM";"MP";"Middle Petorca"
"05111004-8";"El_salvador_DGA";-32,3058;-71,0792;"Petorca Medio";0,920595533498759;"RPM";"MP";"Middle Petorca"
"05120003-9";"Artificio_DGA";-32,3914;-71,0931;"Rio Petorca Bajo (Entre Las Palmas y Desembocadura)";0,918114143920596;"RPB";"LP";"Lower Petorca"
"05120006-3";"Longotoma_DGA";-32,3919;-71,375;"Rio Petorca Bajo (Entre Las Palmas y Desembocadura)";0,98014888337469;"RPB";"LP";"Lower Petorca"
"05200006-8";"Alicahue_DGA";-32,3408;-70,7528;"Rio Ligua Alto (Estero Alicahue)";0,952853598014888;"RLA";"UL";"Upper Ligua"
"05200007-6";"La_mostaza_DGA";-32,4186;-70,6808;"Rio Ligua Alto (Estero Alicahue)";0,982630272952854;"RLA";"UL";"Upper Ligua"
"05210002-K";"La_vina_DGA";-32,4261;-70,9167;"Rio Ligua Medio (entre Quebrada La Cerrada y Los Angeles)";0,900744416873449;"RLM";"ML";"Middle Ligua"
"05211003-3";"Mina_cerro_negro_DGA";-32,5864;-70,8694;"Rio Ligua Medio (entre Quebrada La Cerrada y Los Angeles)";0,942928039702233;"RLM";"ML";"Middle Ligua"
"05211004-1";"Las_puertas_DGA";-32,4856;-70,9319;"Rio Ligua Medio (entre Quebrada La Cerrada y Los Angeles)";0,900744416873449;"RLM";"ML";"Middle Ligua"
"05220006-7";"Chacrilla_DGA";-32,4267;-71,0606;"Rio Ligua Bajo (Entre Estero Los Angeles y Desembocadura)";0,967741935483871;"RLB";"LL";"Lower Ligua"
"05221005-4";"Valle_hermoso_DGA";-32,4372;-71,2067;"Rio Ligua Bajo (Entre Estero Los Angeles y Desembocadura)";0,952853598014888;"RLB";"LL";"Lower Ligua"
"320007";"Casas_de_alicahue_DMC";-32,35111;-70,78361;"Rio Ligua Alto (Estero Alicahue)";0,942928039702233;"RLA";"UL";"Upper Ligua"
"320039";"El_cobre_fundo_sta_maria_pullally_DMC";-32,43667;-71,35361;"Rio Ligua Bajo (Entre Estero Los Angeles y Desembocadura)";0,883374689826303;"RLB";"LL";"Lower Ligua"
"320005";"Huaquen_hacienda_DMC";-32,28417;-71,45972;"Costeras entre Rios Quilimari y Petorca";0,977667493796526;"CQP";"CQP";"Coastal Quilimari Petorca"
"320012";"La_ligua_esval_DMC";-32,44805;-71,23;"Rio Ligua Bajo (Entre Estero Los Angeles y Desembocadura)";0,950372208436725;"RLB";"LL";"Lower Ligua"
"320010";"La_vega_fundo_DMC";-32,42055;-71,03944;"Rio Ligua Bajo (Entre Estero Los Angeles y Desembocadura)";0,853598014888338;"RLB";"LL";"Lower Ligua"
"320006";"Trapiche_longotoma_DMC";-32,32194;-71,29028;"Rio Petorca Bajo (Entre Las Palmas y Desembocadura)";0,96029776674938;"RPB";"LP";"Lower Petorca"
